@timestamp,SourceIP,SrcPort,DstIP,DstPort,sslServerName
2026-02-09T06:54:09.671872565Z,10.0.0.126,47658,37.59.150.178,443,www.vvsskrnzedwa6gku3oxqvhj.com
2026-02-09T06:54:09.672133070Z,10.0.0.126,54796,188.40.98.96,443,www.q525jhgt.com
2026-02-09T06:54:09.673373867Z,10.0.0.126,46649,5.135.187.167,9001,www.3h2eyn3jwsjkggg3.com
2026-02-09T06:54:09.673510545Z,10.0.0.126,54796,188.40.98.96,443,www.q525jhgt.com
2026-02-09T06:54:09.671632707Z,10.0.0.126,54393,50.115.122.68,9001,www.ojj4rbje7z7.com
2026-02-09T06:54:09.671679151Z,10.0.0.126,46612,198.251.79.247,9001,www.nz3fcoj5iq5zzm.com
2026-02-09T06:54:09.672000689Z,10.0.0.126,46649,5.135.187.167,9001,www.3h2eyn3jwsjkggg3.com
2026-02-09T06:54:09.672043618Z,10.0.0.126,58912,91.121.113.70,9001,www.dv2nzruzkuf2ncqzpxh5vpg.com
2026-02-09T06:54:09.672089652Z,10.0.0.126,57656,95.211.225.167,443,www.mwqdszwnojnepwmw4souyw.com
2026-02-09T06:54:09.678923455Z,10.0.0.126,55799,204.45.252.235,9001,www.hnjdgwrzqjm4e6pd5diwu.com
2026-02-09T06:54:09.679672600Z,10.0.0.126,38196,94.237.80.64,9001,www.q6qhcydz6uopjwxhdl.com
2026-02-09T06:54:09.679716214Z,10.0.0.126,44384,192.151.147.5,443,www.amf2ui2dvqv.com
2026-02-09T06:54:09.681153324Z,10.0.0.126,37709,178.78.229.73,9001,www.nkxsblumcc4fqqcbgimliqcz.com
2026-02-09T06:54:09.687620153Z,10.0.0.126,50935,212.83.158.50,443,www.lm6zdbm5w2jd5wxtmsfpkn.com
2026-02-09T06:54:09.687703475Z,10.0.0.126,34887,72.52.91.30,5901,www.igyewbs5.com
2026-02-09T06:54:09.689332818Z,10.0.0.126,40742,64.62.249.222,443,www.de5v2whiex3xxy.com
2026-02-09T06:54:09.688596313Z,10.0.0.126,45720,83.140.59.2,443,www.e3kcxsnmhxv7inykjgb.com
2026-02-09T06:54:09.689941443Z,10.0.0.126,43989,85.17.122.80,443,www.364xidw4ycv47mou.com
2026-02-09T06:54:09.753485704Z,10.0.0.126,50403,62.210.125.218,9001,www.z7eheatm2n3q4q.com
2026-02-09T06:54:09.672270531Z,10.0.0.126,49341,66.18.12.197,443,www.6kyx72vjlrwxcmxnj4we7n.com
2026-02-09T06:54:09.672316498Z,10.0.0.126,40742,64.62.249.222,443,www.de5v2whiex3xxy.com
2026-02-09T06:54:09.679190834Z,10.0.0.126,42995,82.96.35.8,443,www.ietgtnrj4wscn5dguryzxanum.com
2026-02-09T06:54:09.678161117Z,10.0.0.126,45720,83.140.59.2,443,www.e3kcxsnmhxv7inykjgb.com
2026-02-09T06:54:09.679412753Z,10.0.0.126,45720,83.140.59.2,443,www.e3kcxsnmhxv7inykjgb.com
2026-02-09T06:54:09.688647002Z,10.0.0.126,58655,82.96.35.7,443,www.rgjlkzmv3nmlcnd24lus.com
2026-02-09T06:54:09.687764713Z,10.0.0.126,47658,37.59.150.178,443,www.vvsskrnzedwa6gku3oxqvhj.com
2026-02-09T06:54:09.688320694Z,10.0.0.126,44635,95.130.10.15,9001,www.omujclz7fx7rdwcq.com
2026-02-09T06:54:09.688764344Z,10.0.0.126,55146,193.228.143.17,80,www.2crtm25flad.com
2026-02-09T06:54:09.689899423Z,10.0.0.126,54796,188.40.98.96,443,www.q525jhgt.com
2026-02-09T06:54:09.691082549Z,10.0.0.126,34481,194.132.32.42,8080,www.aqn56zxxmxe2ixvnrxt6.com
2026-02-09T06:54:09.691334645Z,10.0.0.126,34733,64.147.188.11,8080,www.yhzzjvtddjbdj7.com
2026-02-09T06:54:09.672175851Z,10.0.0.126,36715,149.9.0.60,9001,www.dpvdl3n6yzwv.com
2026-02-09T06:54:09.672576627Z,10.0.0.126,34887,72.52.91.30,5901,www.igyewbs5.com
2026-02-09T06:54:09.678117876Z,10.0.0.126,48886,192.42.116.161,9001,www.wiovcgwykbrq7pzit.com
2026-02-09T06:54:09.672618871Z,10.0.0.126,47658,37.59.150.178,443,www.vvsskrnzedwa6gku3oxqvhj.com
2026-02-09T06:54:09.753971972Z,10.0.0.126,38717,5.135.184.158,9001,www.x3z2g36n3xgl3jm.com
2026-02-09T06:54:09.678208228Z,10.0.0.126,55603,212.83.155.250,443,www.kd3q2gcs3nl4a.com
2026-02-09T06:54:09.678253290Z,10.0.0.126,34733,64.147.188.11,8080,www.yhzzjvtddjbdj7.com
2026-02-09T06:54:09.679015041Z,10.0.0.126,56056,83.248.6.192,9001,www.rr6npjxsofl.com
2026-02-09T06:54:09.680862462Z,10.0.0.126,33170,212.83.158.40,443,www.b6zvseo37v.com
2026-02-09T06:54:09.680767798Z,10.0.0.126,39275,91.143.91.174,443,www.6km4ztios2pngaka.com
2026-02-09T06:54:09.680810966Z,10.0.0.126,35914,31.172.30.4,443,www.d5em6vj2b.com
2026-02-09T06:54:09.687227105Z,10.0.0.126,58655,82.96.35.7,443,www.rgjlkzmv3nmlcnd24lus.com
2026-02-09T06:54:09.687809974Z,10.0.0.126,44997,31.7.186.228,443,www.ewrk2xtmr.com
2026-02-09T06:54:09.687852485Z,10.0.0.126,49609,88.159.20.120,443,www.exr2poqlv774jn4ddyvf5vvv.com
2026-02-09T06:54:09.688933295Z,10.0.0.126,33170,212.83.158.40,443,www.b6zvseo37v.com
2026-02-09T06:54:09.689983212Z,10.0.0.126,55799,204.45.252.235,9001,www.hnjdgwrzqjm4e6pd5diwu.com
2026-02-09T06:54:09.688235850Z,10.0.0.126,60000,81.218.109.195,443,www.7j37zusfllpy6mykm7q.com
2026-02-09T06:54:09.690024014Z,10.0.0.126,49652,194.44.215.73,9001,www.itwosk4cvsl.com
2026-02-09T06:54:09.687940692Z,10.0.0.126,58912,91.121.113.70,9001,www.dv2nzruzkuf2ncqzpxh5vpg.com
2026-02-09T06:54:09.689728738Z,10.0.0.126,49609,88.159.20.120,443,www.exr2poqlv774jn4ddyvf5vvv.com
2026-02-09T06:54:09.688639761Z,10.0.0.126,55603,212.83.155.250,443,www.kd3q2gcs3nl4a.com
2026-02-09T06:54:09.688681757Z,10.0.0.126,34733,64.147.188.11,8080,www.yhzzjvtddjbdj7.com
2026-02-09T06:54:09.688723075Z,10.0.0.126,56328,193.11.164.243,9001,www.unin2svqk.com
2026-02-09T06:54:09.691209395Z,10.0.0.126,48886,192.42.116.161,9001,www.wiovcgwykbrq7pzit.com
2026-02-09T06:54:09.747790943Z,10.0.0.126,50403,62.210.125.218,9001,www.z7eheatm2n3q4q.com
2026-02-09T06:54:09.677763594Z,10.0.0.126,56056,83.248.6.192,9001,www.rr6npjxsofl.com
2026-02-09T06:54:09.677806881Z,10.0.0.126,60000,81.218.109.195,443,www.7j37zusfllpy6mykm7q.com
2026-02-09T06:54:09.689685842Z,10.0.0.126,44997,31.7.186.228,443,www.ewrk2xtmr.com
2026-02-09T06:54:09.753159190Z,10.0.0.126,44384,192.151.147.5,443,www.amf2ui2dvqv.com
2026-02-09T06:54:09.753447477Z,10.0.0.126,38522,50.7.194.122,443,www.bt2tqmz5c.com
2026-02-09T06:54:09.679370784Z,10.0.0.126,48886,192.42.116.161,9001,www.wiovcgwykbrq7pzit.com
2026-02-09T06:54:09.753464942Z,10.0.0.126,37709,178.78.229.73,9001,www.nkxsblumcc4fqqcbgimliqcz.com
2026-02-09T06:54:09.754042733Z,10.0.0.126,35498,91.219.237.229,443,www.qanfwjt5y.com
2026-02-09T06:54:09.909034384Z,10.0.0.126,58655,82.96.35.7,443,www.rgjlkzmv3nmlcnd24lus.com
2026-02-09T06:54:09.672660695Z,10.0.0.126,44997,31.7.186.228,443,www.ewrk2xtmr.com
2026-02-09T06:54:09.679327397Z,10.0.0.126,39393,5.79.86.168,9001,www.v66jp5fxxdfhvowk.com
2026-02-09T06:54:09.688068803Z,10.0.0.126,43989,85.17.122.80,443,www.364xidw4ycv47mou.com
2026-02-09T06:54:09.688362147Z,10.0.0.126,42995,82.96.35.8,443,www.ietgtnrj4wscn5dguryzxanum.com
2026-02-09T06:54:09.747405107Z,10.0.0.126,52239,192.3.18.23,9001,www.p2nj2cp6smzu4a5lkj7x.com
2026-02-09T06:54:09.672403017Z,10.0.0.126,54393,50.115.122.68,9001,www.ojj4rbje7z7.com
2026-02-09T06:54:09.687486043Z,10.0.0.126,46797,212.83.140.45,443,www.esd7jqvwpbwebf.com
2026-02-09T06:54:09.689773148Z,10.0.0.126,46649,5.135.187.167,9001,www.3h2eyn3jwsjkggg3.com
2026-02-09T06:54:09.689815822Z,10.0.0.126,58912,91.121.113.70,9001,www.dv2nzruzkuf2ncqzpxh5vpg.com
2026-02-09T06:54:09.691124714Z,10.0.0.126,47282,93.180.156.45,443,www.euibql6sq6jqyjv2x6ytke.com
2026-02-09T06:54:09.687099524Z,10.0.0.126,38717,5.135.184.158,9001,www.x3z2g36n3xgl3jm.com
2026-02-09T06:54:09.691167154Z,10.0.0.126,39393,5.79.86.168,9001,www.v66jp5fxxdfhvowk.com
2026-02-09T06:54:09.747774711Z,10.0.0.126,37709,178.78.229.73,9001,www.nkxsblumcc4fqqcbgimliqcz.com
2026-02-09T06:54:09.671916033Z,10.0.0.126,44997,31.7.186.228,443,www.ewrk2xtmr.com
2026-02-09T06:54:09.679242461Z,10.0.0.126,34481,194.132.32.42,8080,www.aqn56zxxmxe2ixvnrxt6.com
2026-02-09T06:54:09.679544895Z,10.0.0.126,56328,193.11.164.243,9001,www.unin2svqk.com
2026-02-09T06:54:09.679847103Z,10.0.0.126,38522,50.7.194.122,443,www.bt2tqmz5c.com
